elapsed seconds,fps,loading,averaged,commit sha
0.012,0.00,true,false,373d756b42
1.064,53.96,true,false,373d756b42
2.443,53.96,true,false,373d756b42
3.464,128.87,true,false,373d756b42
4.489,235.55,true,false,373d756b42
5.508,283.49,false,true,373d756b42
6.528,209.66,false,true,373d756b42
7.543,237.48,false,true,373d756b42
8.562,231.51,false,true,373d756b42
9.584,203.84,false,true,373d756b42
10.595,204.26,false,true,373d756b42
11.611,186.87,false,true,373d756b42
12.634,199.66,false,true,373d756b42
13.679,224.62,false,true,373d756b42
14.690,417.17,false,true,373d756b42
