percent,covered lines,total lines,percent change,commit sha
99.37,70424,70868,-0.03,
99.41,70452,70870,0.04,
99.40,70444,70871,-0.01,
99.40,70445,70868,0.00,
99.39,70445,70878,-0.01,
99.43,70474,70879,0.04,
99.41,70472,70893,-0.02,
99.40,70846,71273,-0.01,
99.40,70848,71273,0.00,
99.43,70864,71271,0.03,
99.40,70843,71273,-0.03,
99.55,70945,71267,0.15,
99.56,70954,71271,0.01,
99.54,70958,71286,-0.02,
99.55,70961,71285,0.01,
99.52,70944,71283,-0.03,
99.54,70953,71283,0.02,
99.56,70974,71285,0.02,8dd67c2f87
99.55,70967,71286,-0.01,efd0ea3f36
99.59,73843,74146,0.04,3c7313f148
99.58,73831,74146,-0.01,8dd84948a1
