fps,% change,load duration,commit sha,source
106.04,5.69,8.810,,
106.45,0.38,8.386,,
108.76,2.13,8.804,,
90.09,-20.73,8.442,,
102.14,11.80,8.479,,
107.68,5.15,8.630,,
106.42,-1.18,8.587,,
106.67,0.23,9.648,,
97.71,-9.17,8.800,,
96.01,-1.77,8.407,,
161.97,40.72,7.201,,
164.19,1.35,6.690,,
155.08,-5.87,8.010,,
146.76,-5.67,6.475,,
164.85,10.98,7.611,,
150.32,-9.67,6.453,,
162.77,7.64,6.650,,
152.00,-7.09,6.690,,
164.93,7.84,6.441,,
164.21,-0.44,7.772,,
150.88,-8.83,6.576,8dd67c2f87,
147.36,-2.39,6.675,efd0ea3f36,
356.15,58.63,4.408,3c7313f148,
350.44,-1.63,4.457,8dd84948a1,
334.71,-4.70,4.495,febde77936,
352.79,5.12,4.428,5961abf069,
375.64,6.08,4.401,1c1ac0c434,
287.76,-30.54,4.293,9bd0d5fccf,
255.80,-12.49,4.373,3f10a50822,
347.71,26.43,4.427,9dbe363c3f,
356.84,2.63,4.323,c9ef0ddb1e,
367.67,3.03,4.34,76ee0fcb19,
243.35,-33.81,4.35,6cafaf13fd,
337.09,38.52,4.30,3bbc4aa295,
325.26,-3.51,4.37,07ab9870f1,
265.00,-18.53,5.49,97160f8cf3,
239.86,-9.49,5.51,373d756b42,
342.44,42.77,5.67,080f73aa96,
272.71,-20.36,5.62,75b1bdfeed,
281.27,3.14,5.67,5796fb3acc,
286.54,1.87,5.58,557d254f4b,
241.96,-15.56,5.50,678d44aa67,
284.87,17.73,5.62,ac549a798d,
245.55,-13.80,5.50,70e26e6897,
304.63,24.06,5.52,3a5b72c0b5,
294.36,-3.37,5.52,2d2674518f,staging
288.23,-2.08,5.51,caf99f9cb6,staging
293.51,1.83,5.58,faa2360e44,staging
