epoch, FPS, Calls, Triangles, Points, Lines, Geometries, Textures, Objects, Meshes, Instanced meshes, commit sha, source
1779400490986, 136.13, 539, 584152, 1000, 0, 416, 43, 962, 701, 347, , 
1779403396372, 116.55, 539, 584152, 1000, 0, 416, 43, 962, 701, 347, , 
1779405703958, 139.37, 539, 584152, 1000, 0, 416, 43, 962, 701, 347, , 
1779490537725, 117.51, 539, 584152, 1000, 0, 416, 43, 962, 701, 347, , 
1779491699061, 136.36, 539, 584152, 1000, 0, 416, 43, 962, 701, 347, , 
1779743865922, 134.19, 539, 584152, 1000, 0, 413, 43, 962, 701, 347, , 
1779813650607, 132.89, 539, 584152, 1000, 0, 413, 43, 962, 701, 347, , 
1779818723603, 138.21, 539, 584150, 1000, 0, 416, 43, 962, 701, 347, , 
1779910794252, 140.59, 247, 584150, 1000, 0, 189, 35, 678, 409, 52, , 
1779921956709, 163.72, 247, 584152, 1000, 0, 188, 35, 678, 409, 52, , 
1779925027019, 158.95, 247, 584152, 1000, 0, 188, 35, 678, 409, 52, , 
1779926455716, 140.72, 247, 584152, 1000, 0, 190, 35, 678, 409, 52, , 
1779932131553, 176.79, 247, 584152, 1000, 0, 189, 35, 678, 409, 52, , 
1779933421895, 144.93, 247, 584150, 1000, 0, 189, 35, 678, 409, 52, , 
1779979989442, 171.79, 247, 584150, 1000, 0, 190, 35, 678, 409, 52, , 
1779984118907, 142.27, 247, 584150, 1000, 0, 189, 35, 678, 409, 52, , 
1779995145838, 159.16, 247, 584150, 1000, 0, 191, 35, 678, 409, 52, , 
1780002322403, 141.18, 247, 584148, 1000, 0, 189, 35, 678, 409, 52, , 
1780083941059, 157.14, 247, 584152, 1000, 0, 188, 35, 678, 409, 52, 8dd67c2f87, 
1780095007497, 178.43, 247, 584152, 1000, 0, 189, 35, 678, 409, 52, efd0ea3f36, 
1780097116795, 332.77, 129, 497948, 0, 0, 112, 25, 302, 163, 7, 3c7313f148, 
1780099623014, 333.93, 129, 497948, 0, 0, 112, 25, 302, 163, 7, 8dd84948a1, 
1780169461459, 346.41, 129, 497948, 0, 0, 112, 25, 302, 163, 7, febde77936, 
1780422446655, 348.27, 129, 497946, 0, 0, 112, 25, 302, 163, 7, 5961abf069, 
1780425246720, 335.60, 129, 497946, 0, 0, 112, 25, 302, 163, 7, 1c1ac0c434, 
1781123765977, 393.69, 131, 498016, 0, 0, 112, 25, 303, 164, 7, 9bd0d5fccf, 
1781638612849, 332.34, 131, 498016, 0, 0, 113, 25, 303, 164, 7, 3f10a50822, 
1781641818559, 347.69, 131, 498016, 0, 0, 113, 25, 303, 164, 7, 9dbe363c3f, 
1781651045275, 335.40, 131, 498016, 0, 0, 115, 25, 303, 164, 7, c9ef0ddb1e, 
1781654965934, 414.25, 131, 498010, 0, 0, 112, 25, 303, 164, 7, 76ee0fcb19, 
1781890418080, 388.46, 131, 498016, 0, 0, 112, 25, 303, 164, 7, 6cafaf13fd, 
1782413920712, 339.15, 131, 498010, 0, 0, 113, 25, 303, 164, 7, 3bbc4aa295, 
1782505167442, 352.12, 131, 498016, 0, 0, 115, 25, 303, 164, 7, 07ab9870f1, 
1785432182072, 274.00, 172, 508582, 0, 12, 119, 30, 401, 169, 7, 97160f8cf3, 
1785434709753, 297.64, 172, 508574, 0, 12, 116, 30, 401, 169, 7, 373d756b42, 
1785533208912, 278.94, 172, 508582, 0, 12, 126, 30, 401, 169, 7, 080f73aa96, 
1785534770499, 268.06, 172, 508574, 0, 12, 126, 30, 401, 169, 7, 75b1bdfeed, 
1785538893979, 270.84, 172, 508582, 0, 12, 116, 30, 401, 169, 7, 5796fb3acc, 
1785876866639, 263.11, 172, 508574, 0, 12, 116, 30, 401, 169, 7, 557d254f4b, 
1786149232906, 288.25, 171, 504230, 0, 12, 125, 30, 398, 168, 6, 678d44aa67, 
1786322357774, 292.82, 171, 504230, 0, 12, 123, 30, 398, 168, 6, ac549a798d, 
1786505293408, 279.75, 171, 504230, 0, 12, 125, 30, 398, 168, 6, 70e26e6897, 
1786513594370, 290.27, 171, 504230, 0, 12, 115, 30, 398, 168, 6, 3a5b72c0b5, 
1786579891952, 272.59, 171, 504230, 0, 12, 115, 30, 398, 168, 6, 2d2674518f, staging
1786732689525, 260.06, 171, 504222, 0, 12, 115, 30, 398, 168, 6, caf99f9cb6, staging
1786746121494, 263.29, 171, 504230, 0, 12, 123, 30, 398, 168, 6, faa2360e44, staging
1787080794261, 302.27, 171, 504230, 0, 12, 124, 30, 398, 168, 6, 23008e24a7, staging
1787106557865, 299.28, 171, 504230, 0, 12, 115, 30, 400, 168, 6, 4fef14181e, staging
1787165266190, 273.13, 171, 504230, 0, 12, 115, 30, 400, 168, 6, 974e1ab6bb, staging
1787179456043, 279.00, 171, 504222, 0, 12, 115, 30, 400, 168, 6, 551cb99351, staging
1787254975783, 283.38, 171, 504230, 0, 12, 115, 30, 400, 168, 6, 773b0a3634, staging
1787257566545, 276.00, 171, 504230, 0, 12, 125, 30, 400, 168, 6, 8ece33b5d7, staging
1787261426324, 288.48, 171, 504222, 0, 12, 115, 30, 400, 168, 6, 55d9e6668e, staging
1787351552779, 286.80, 171, 504230, 0, 12, 115, 30, 400, 168, 6, 08cf4fb251, staging
1787723904858, 303.97, 171, 504222, 0, 12, 115, 30, 400, 168, 6, 95dfd13dc6, staging
