epoch, FPS, Calls, Triangles, Points, Lines, Geometries, Textures, Objects, Meshes, Instanced meshes, commit sha, source
1779400448964, 110.04, 585, 1085094, 1000, 0, 478, 39, 1023, 765, 390, , 
1779403352545, 106.52, 585, 1085094, 1000, 0, 478, 39, 1023, 765, 390, , 
1779405656299, 107.46, 584, 1084830, 1000, 0, 478, 39, 1023, 765, 390, , 
1779490494745, 108.77, 585, 1085094, 1000, 0, 477, 39, 1022, 764, 389, , 
1779491654919, 112.14, 584, 1084830, 1000, 0, 478, 39, 1023, 765, 390, , 
1779743820238, 104.13, 585, 1085094, 1000, 0, 478, 39, 1023, 765, 390, , 
1779813604928, 110.39, 584, 1084830, 1000, 0, 478, 39, 1023, 765, 390, , 
1779818676487, 105.43, 585, 1085094, 1000, 0, 477, 39, 1022, 764, 389, , 
1779910751571, 161.13, 292, 1083096, 1000, 0, 266, 31, 735, 471, 94, , 
1779921913844, 152.13, 292, 1083096, 1000, 0, 266, 31, 735, 471, 94, , 
1779924981653, 156.66, 292, 1083096, 1000, 0, 267, 31, 736, 472, 95, , 
1779926413956, 144.84, 292, 1083096, 1000, 0, 266, 31, 735, 471, 94, , 
1779932090664, 168.18, 292, 1083096, 1000, 0, 266, 31, 735, 471, 94, , 
1779933377629, 148.23, 292, 1083096, 1000, 0, 266, 31, 735, 471, 94, , 
1779979946211, 152.25, 292, 1083096, 1000, 0, 266, 31, 735, 471, 94, , 
1779984075125, 157.06, 292, 1083096, 1000, 0, 267, 31, 736, 472, 95, , 
1779995104098, 154.37, 292, 1083096, 1000, 0, 267, 31, 736, 472, 95, , 
1780002278270, 161.55, 292, 1083096, 1000, 0, 267, 31, 736, 472, 95, , 
1780083894104, 142.87, 292, 1083096, 1000, 0, 267, 31, 736, 472, 95, 8dd67c2f87, 
1780094963640, 152.56, 292, 1083096, 1000, 0, 266, 31, 735, 471, 94, efd0ea3f36, 
1780097071682, 344.72, 147, 1019724, 1000, 0, 139, 32, 376, 207, 20, 3c7313f148, 
1780099582088, 359.39, 147, 1019724, 1000, 0, 139, 32, 376, 207, 20, 8dd84948a1, 
1780169417615, 312.56, 147, 1019724, 1000, 0, 139, 32, 376, 207, 20, febde77936, 
1780422404153, 336.43, 147, 1019724, 1000, 0, 139, 32, 376, 207, 20, 5961abf069, 
1780425206988, 342.49, 147, 1019724, 1000, 0, 139, 32, 376, 207, 20, 1c1ac0c434, 
1781123720715, 303.91, 147, 1019724, 1000, 0, 139, 32, 376, 207, 20, 9bd0d5fccf, 
1781638566703, 350.58, 147, 1019724, 1000, 0, 139, 32, 376, 207, 20, 3f10a50822, 
1781641773064, 348.34, 147, 1019724, 1000, 0, 139, 32, 376, 207, 20, 9dbe363c3f, 
1781650996393, 344.93, 147, 1019724, 1000, 0, 139, 32, 376, 207, 20, c9ef0ddb1e, 
1781654916405, 348.97, 147, 1019724, 1000, 0, 139, 32, 376, 207, 20, 76ee0fcb19, 
1781890349659, 315.43, 147, 1019724, 1000, 0, 139, 32, 376, 207, 20, 6cafaf13fd, 
1782413850224, 348.83, 147, 1019724, 1000, 0, 139, 32, 376, 207, 20, 3bbc4aa295, 
1782505096563, 250.97, 147, 1019724, 1000, 0, 139, 32, 376, 207, 20, 07ab9870f1, 
1785432109489, 416.00, 142, 1275096, 2305, 0, 94, 36, 336, 123, 10, 97160f8cf3, 
1785434636482, 417.17, 142, 1275096, 2305, 0, 94, 36, 336, 123, 10, 373d756b42, 
1785533130580, 423.58, 142, 1275096, 2305, 0, 94, 36, 336, 123, 10, 080f73aa96, 
